中央1(电信),#genre#
CCTV-1综合,http://192.168.2.1:4000/rtp/239.77.0.86:5146#http://192.168.2.1:4000/rtp/239.77.0.241:5146#http://192.168.2.1:4000/rtp/239.77.1.17:5146#http://192.168.2.1:4000/rtp/239.77.1.144:5146#http://192.168.2.1:4000/rtp/239.77.0.86:5146#http://192.168.2.1:4000/rtp/239.77.0.129:5146
CCTV-2财经,http://192.168.2.1:4000/rtp/239.77.1.158:5146#http://192.168.2.1:4000/rtp/239.77.0.137:5146
CCTV-3综艺,http://192.168.2.1:4000/rtp/239.77.0.169:5146
CCTV-4国际,http://192.168.2.1:4000/rtp/239.77.1.163:5146#http://192.168.2.1:4000/rtp/239.77.1.166:5146#http://192.168.2.1:4000/rtp/239.77.0.78:5146
CCTV-4美洲,http://192.168.2.1:4000/rtp/239.253.43.121:5146
CCTV-4欧洲,http://192.168.2.1:4000/rtp/239.253.43.120:5146
CCTV-5体育,http://192.168.2.1:4000/rtp/239.77.0.170:5146#http://192.168.2.1:4000/rtp/239.77.1.116:5146
CCTV-5+体育赛事,http://192.168.2.1:4000/rtp/239.77.0.87:5146#http://192.168.2.1:4000/rtp/239.77.1.31:5146
CCTV-6电影,http://192.168.2.1:4000/rtp/239.77.0.171:5146
CCTV-7军事,http://192.168.2.1:4000/rtp/239.77.1.159:5146#http://192.168.2.1:4000/rtp/239.77.0.138:5146
CCTV-8电视剧,http://192.168.2.1:4000/rtp/239.77.0.172:5146
CCTV-9记录,http://192.168.2.1:4000/rtp/239.77.1.160:5146#http://192.168.2.1:4000/rtp/239.77.0.135:5146
CCTV-10科教,http://192.168.2.1:4000/rtp/239.77.1.113:5146#http://192.168.2.1:4000/rtp/239.77.0.134:5146
CCTV-11戏曲,http://192.168.2.1:4000/rtp/239.77.1.238:5146
CCTV-12社会与法,http://192.168.2.1:4000/rtp/239.77.1.109:5146#http://192.168.2.1:4000/rtp/239.77.0.136:5146
CCTV-13新闻,http://192.168.2.1:4000/rtp/239.77.0.188:5146#http://192.168.2.1:4000/rtp/239.253.43.196:5146
CCTV-14少儿,http://192.168.2.1:4000/rtp/239.77.1.161:5146#http://192.168.2.1:4000/rtp/239.77.0.133:5146
CCTV-15音乐,http://192.168.2.1:4000/rtp/239.77.1.239:5146
CCTV-16奥林匹克,http://192.168.2.1:4000/rtp/239.77.0.165:5146#http://192.168.2.1:4000/rtp/239.77.1.76:5146
CCTV-17农业农村,http://192.168.2.1:4000/rtp/239.77.1.121:5146#http://192.168.2.1:4000/rtp/239.77.0.198:5146
卫视(电信),#genre#
湖南卫视,http://192.168.2.1:4000/rtp/239.77.1.5:5146#http://192.168.2.1:4000/rtp/239.77.0.88:5146#http://192.168.2.1:4000/rtp/239.77.0.127:5146
浙江卫视,http://192.168.2.1:4000/rtp/239.77.0.89:5146#http://192.168.2.1:4000/rtp/239.77.1.33:5146
江苏卫视,http://192.168.2.1:4000/rtp/239.77.1.18:5146#http://192.168.2.1:4000/rtp/239.77.0.90:5146
东方卫视,http://192.168.2.1:4000/rtp/239.77.1.218:5146#http://192.168.2.1:4000/rtp/239.77.0.98:5146
安徽卫视,http://192.168.2.1:4000/rtp/239.77.1.92:5146#http://192.168.2.1:4000/rtp/239.77.0.183:5146
北京卫视,http://192.168.2.1:4000/rtp/239.77.1.4:5146#http://192.168.2.1:4000/rtp/239.77.1.151:5146#http://192.168.2.1:4000/rtp/239.77.0.91:5146
天津卫视,http://192.168.2.1:4000/rtp/239.77.1.141:5146#http://192.168.2.1:4000/rtp/239.77.1.182:5146#http://192.168.2.1:4000/rtp/239.77.0.97:5146#http://192.168.2.1:4000/rtp/239.77.0.131:5146
山东卫视,http://192.168.2.1:4000/rtp/239.77.1.142:5146#http://192.168.2.1:4000/rtp/239.77.0.94:5146
江西卫视,http://192.168.2.1:4000/rtp/239.77.1.219:5146#http://192.168.2.1:4000/rtp/239.77.0.149:5146
